Customer ID,Customer Name,Customer Balance,Invoice Total,Invoice applied amount,Invoice exchange rate,Payment Total,Payment applied amount,Payment exchange rate,Credit Total,Credit applied amount,Credit exchange rate,Adjustment Total,Adjustment applied amount,Adjustment exchange rate
CUST-0017,Customer 0017,-1877.85,2817.47,1910.51,0.9119,3792.59,950.46,1.0026,312.82,119.35,1.1056,975.95,619.82,1.0067
CUST-0018,Customer 0018,-1766.37,412.7,349.15,0.8128,366.24,165.82,0.9947,1646.58,44.92,1.0839,587.89,465.8,0.9614
CUST-0019,Customer 0019,2252.39,4155.39,167.27,1.0458,1304.65,114.47,1.0403,1487.7,40.07,0.9324,1066.67,283.14,0.8545
CUST-0020,Customer 0020,886.23,3195.16,1436.65,0.9495,938.69,677.05,0.975,1897.54,1050.05,1.0502,1224.29,887.71,1.0745
CUST-0021,Customer 0021,-650.42,3814.63,3404.51,1.0605,1573.0,348.73,1.1678,1957.95,1931.93,0.8781,454.95,77.29,0.9723
CUST-0022,Customer 0022,-1115.24,1837.18,1377.18,0.8435,2969.33,574.22,1.136,1786.57,1750.43,0.9055,1489.25,424.06,1.1738
CUST-0023,Customer 0023,-559.96,4856.42,4816.63,0.8055,1896.97,597.32,1.1516,265.85,89.66,1.179,1362.93,424.99,1.186
CUST-0024,Customer 0024,920.06,4476.29,2378.76,0.8993,2282.92,2060.04,1.0518,1756.77,848.0,0.9653,728.25,725.65,1.1071
CUST-0025,Customer 0025,447.06,3914.08,2583.28,0.9826,1256.62,1000.86,1.054,1677.27,168.49,0.898,1084.24,232.65,0.897
CUST-0026,Customer 0026,587.98,1053.73,318.73,0.9576,565.16,535.15,1.0437,1742.17,909.72,0.9948,786.01,101.56,1.0864
CUST-0027,Customer 0027,-268.58,2386.93,2261.7,1.1241,1067.73,696.12,0.974,303.37,181.93,0.9548,1141.4,1056.58,0.8082
CUST-0028,Customer 0028,97.41,314.64,115.26,0.9511,3438.72,2279.6,0.9288,233.58,58.64,1.0918,1240.47,200.87,1.1306
CUST-0029,Customer 0029,-1917.41,856.02,632.18,1.0122,2409.67,1156.72,1.0368,1847.62,1130.95,1.1848,34.83,30.63,0.9974
CUST-0030,Customer 0030,2030.73,3446.94,1389.6,1.0374,1511.95,1368.6,0.8102,347.65,312.78,1.0367,118.7,77.21,1.1747
CUST-0031,Customer 0031,-472.69,3749.33,2106.44,0.8087,3159.62,1614.18,0.803,737.24,0.7,1.0365,504.7,291.14,0.9511
CUST-0032,Customer 0032,819.78,4840.8,3484.32,1.0061,257.83,91.55,1.1407,911.97,208.78,0.9459,1376.42,1034.16,0.9053
CUST-0033,Customer 0033,476.77,1696.54,863.43,0.9379,1015.56,650.34,0.8186,248.89,52.25,1.0259,597.41,433.72,1.198
CUST-0034,Customer 0034,915.62,1915.25,1737.3,0.9685,920.41,502.67,1.0099,41.27,5.11,0.9277,1331.27,147.14,1.0123
CUST-0035,Customer 0035,-3766.83,2400.82,1006.67,0.8401,3941.46,488.82,1.046,1988.18,330.24,0.8004,693.65,693.28,1.1453
CUST-0036,Customer 0036,-1826.75,1028.41,665.46,1.1131,2824.39,1109.21,0.8793,1753.31,1097.42,1.1464,433.28,408.1,1.1644
CUST-0037,Customer 0037,-2845.7,736.62,252.19,1.177,2471.14,774.27,1.1583,1824.68,187.38,0.9718,1350.97,1211.27,1.0074
CUST-0038,Customer 0038,1324.83,2430.95,992.21,0.8089,19.94,16.89,0.876,569.13,420.32,0.9968,841.01,523.35,0.9823
CUST-0039,Customer 0039,399.76,1211.86,533.28,1.0405,737.24,279.3,1.1538,440.2,390.47,0.8334,540.73,282.69,1.0212
CUST-0040,Customer 0040,2731.39,3382.09,425.49,1.1055,2542.17,2088.53,1.1052,851.73,789.2,1.1348,66.61,35.72,1.1391
CUST-0041,Customer 0041,1296.33,2242.04,205.65,0.9139,1518.88,671.94,0.8963,906.64,598.54,0.8681,166.4,2.49,1.1859
CUST-0042,Customer 0042,854.49,4180.12,2790.19,1.115,3697.12,2785.78,0.8603,11.2,2.21,0.9642,208.97,104.37,0.9313
CUST-0043,Customer 0043,-2563.89,3531.3,2314.83,1.0529,3058.9,413.81,0.9265,1558.51,132.94,1.1361,547.25,341.36,1.0955
CUST-0044,Customer 0044,-704.6,1630.6,1080.94,1.1717,1789.54,1654.7,0.9592,1993.33,462.5,0.9831,911.0,600.08,0.9141
CUST-0045,Customer 0045,3759.17,4178.07,82.59,1.1924,2998.06,1440.75,0.8983,1057.38,1017.15,1.1725,461.39,153.25,1.0444
CUST-0046,Customer 0046,-1207.54,4043.35,1320.34,0.8169,3901.62,1013.63,1.1996,776.52,747.28,0.8837,98.29,46.32,1.1219
CUST-0047,Customer 0047,-39.93,1998.64,395.35,0.978,1843.92,445.29,0.8919,785.5,300.0,1.0861,397.21,252.75,1.1546
CUST-0048,Customer 0048,-1607.84,1512.81,1177.2,1.0188,2570.1,681.28,1.1323,192.15,62.6,1.1912,613.02,262.56,0.9795
CUST-0049,Customer 0049,-1810.04,3444.23,2964.21,0.8587,3674.66,1347.59,0.8636,532.32,271.49,1.0198,1488.4,1432.04,0.9479
CUST-0050,Customer 0050,-392.0,784.79,193.59,0.9345,994.7,713.72,1.1921,1004.27,292.93,1.0769,589.48,415.84,0.9014
CUST-0051,Customer 0051,366.64,1079.55,720.98,1.1951,3546.23,3367.51,0.8902,863.7,846.13,0.9573,133.79,0.17,0.8534
CUST-0052,Customer 0052,-158.37,136.08,17.6,0.8065,390.18,261.05,0.9687,1090.07,241.15,1.1005,871.67,20.29,0.946
CUST-0053,Customer 0053,1101.27,3955.93,1088.48,0.981,2593.79,1419.23,1.0234,1698.13,626.85,1.1635,1379.46,952.24,1.1488
CUST-0054,Customer 0054,2217.01,3357.77,465.57,1.1371,3131.35,1404.72,0.8481,450.48,193.42,1.0812,1180.04,486.94,0.9675
CUST-0055,Customer 0055,2021.88,3555.31,1008.0,0.9296,2458.42,2036.05,1.1267,55.33,6.92,1.1744,1254.33,1052.97,0.9269
CUST-0056,Customer 0056,2208.14,3925.57,2648.73,0.9919,1982.14,1684.14,0.9099,76.45,29.27,1.0355,1392.35,240.9,1.0957
CUST-0057,Customer 0057,-734.45,2348.69,2138.08,1.1912,2469.39,723.62,1.0197,268.34,229.9,1.0309,954.82,13.2,0.8862
CUST-0058,Customer 0058,2170.29,2886.83,584.65,0.99,606.65,578.39,1.0199,1140.97,160.15,0.9219,1492.38,579.17,0.9025
CUST-0059,Customer 0059,-949.91,785.01,425.54,0.8524,862.28,340.7,1.0411,1616.37,944.0,1.0839,49.92,36.74,1.1744
CUST-0060,Customer 0060,-1199.15,661.2,463.76,0.8207,1079.6,863.76,0.8222,1773.61,721.22,1.1528,1252.26,1216.86,0.8326
CUST-0061,Customer 0061,-948.16,3375.17,3216.28,1.1782,2391.12,2311.78,0.8674,1270.23,216.62,1.0585,1285.52,1135.95,0.9659
CUST-0062,Customer 0062,418.2,2408.37,1469.25,0.9063,1767.6,1243.79,0.8645,806.29,9.95,0.8932,1375.05,665.63,1.0307
CUST-0063,Customer 0063,1277.29,2869.66,732.07,1.0016,977.9,157.98,0.9208,309.03,84.47,1.0176,717.25,582.99,0.8921
CUST-0064,Customer 0064,123.44,3848.49,2407.15,0.8363,3531.24,2069.79,0.858,802.84,49.64,1.1024,1181.63,83.1,0.9124
CUST-0065,Customer 0065,198.34,3210.12,1028.82,0.9695,1495.69,177.65,1.1688,664.83,250.49,1.1757,292.62,167.46,0.8887
CUST-0066,Customer 0066,-520.08,2812.54,2745.4,1.172,1784.13,1407.93,1.0052,1740.05,1409.81,0.8626,904.7,836.21,0.9381
CUST-0067,Customer 0067,615.01,2840.12,1135.13,1.001,1638.8,461.02,1.0494,973.44,700.57,0.851,537.97,213.24,1.1594
CUST-0068,Customer 0068,396.78,1589.36,1089.39,1.1885,727.77,505.96,0.943,452.39,428.59,0.9652,894.26,858.58,0.9726
CUST-0069,Customer 0069,506.93,251.01,5.83,0.9035,2926.51,2663.39,0.9105,577.6,246.64,0.8502,1013.34,223.63,0.9671
CUST-0070,Customer 0070,224.58,2239.92,896.11,1.0018,1793.83,324.7,1.0013,272.94,193.19,1.1922,520.6,54.99,0.9546
CUST-0071,Customer 0071,-285.17,1151.46,1007.65,1.1438,65.03,25.55,0.9177,1837.17,1222.35,0.9697,324.36,170.21,1.1856
CUST-0072,Customer 0072,-515.41,2101.79,1282.57,0.9793,3856.05,2495.32,0.9375,100.69,21.85,1.0134,482.53,437.77,0.8469
CUST-0073,Customer 0073,1085.03,4281.68,1900.82,0.9118,3263.05,1369.37,0.9811,25.69,7.8,0.8908,995.94,310.02,1.1488
CUST-0074,Customer 0074,-2113.69,1246.3,1166.46,1.1422,2894.24,505.97,1.0023,365.98,193.91,0.9797,1015.31,812.41,0.9309
CUST-0075,Customer 0075,-3276.44,385.68,329.36,0.956,3476.37,101.06,1.1937,1621.75,1291.98,1.1939,1111.98,188.14,1.1826
CUST-0076,Customer 0076,-1415.7,1478.78,476.49,1.0123,3627.23,1474.82,0.8893,1046.93,483.49,0.9955,189.8,141.51,0.9261
CUST-0077,Customer 0077,39.46,1538.61,837.85,1.1906,1349.96,876.41,0.9952,1251.69,285.06,0.8035,1227.78,683.91,0.8331
CUST-0078,Customer 0078,1450.85,3343.39,1637.67,0.8746,2443.83,1402.72,0.8598,715.46,710.78,0.897,1032.22,180.66,1.008
CUST-0079,Customer 0079,-1106.66,2829.46,1788.79,0.9206,2435.23,380.48,0.94,137.36,15.88,1.1914,45.76,32.86,0.8911
CUST-0080,Customer 0080,1562.03,3941.1,1316.77,0.8124,1069.2,481.88,1.0869,1712.32,1636.79,1.1956,503.4,359.3,1.1012
CUST-0081,Customer 0081,2234.86,3355.14,819.34,0.9567,887.81,328.02,0.8698,383.79,310.5,0.8842,700.07,360.84,1.0629
CUST-0082,Customer 0082,258.37,2091.3,1908.67,0.8801,455.63,124.93,1.0325,66.12,55.47,1.0461,540.93,121.96,1.0746
CUST-0083,Customer 0083,-417.61,4088.7,3777.45,1.072,2637.26,1923.28,0.9667,1145.41,910.51,0.8308,176.13,23.3,0.8774
CUST-0084,Customer 0084,-1765.64,918.17,774.31,0.8725,3123.68,967.25,0.8206,166.58,34.68,1.031,311.02,297.73,1.0835
CUST-0085,Customer 0085,-1685.34,211.29,206.68,1.0699,3043.81,1644.09,1.1732,191.52,121.15,0.8504,36.84,24.16,0.9245
CUST-0086,Customer 0086,-375.89,541.23,403.21,0.9054,1265.1,1167.97,0.9654,1600.75,1211.37,1.1275,139.62,112.99,1.1995
CUST-0087,Customer 0087,223.94,3639.56,2783.05,0.9421,821.04,442.77,1.1136,983.22,733.17,1.1758,399.45,278.4,1.0927
CUST-0088,Customer 0088,-233.01,2363.2,1802.15,0.9395,1814.46,1119.56,0.9665,483.02,131.17,0.8692,1229.96,1020.22,1.0362
CUST-0089,Customer 0089,-1654.58,890.23,427.85,1.0867,2187.25,160.21,1.1749,697.25,126.29,0.9851,789.96,128.36,1.1468
CUST-0090,Customer 0090,-1890.21,2555.12,1166.29,0.9866,3676.35,654.88,0.9162,1458.48,478.56,0.8408,636.75,316.43,1.0357
CUST-0091,Customer 0091,-2155.27,846.33,203.31,0.9445,3499.29,353.26,0.9649,132.71,63.68,0.9357,993.24,662.62,1.0211
CUST-0092,Customer 0092,1042.02,3511.97,2264.59,1.141,3664.23,2802.45,1.1035,232.96,133.67,0.826,812.27,83.98,0.8949
CUST-0093,Customer 0093,1145.96,2286.17,661.44,1.0288,3401.05,2843.01,0.9375,1232.52,1031.56,0.9058,197.27,29.58,1.0712
CUST-0094,Customer 0094,-1895.0,1967.0,507.11,0.8855,3858.32,719.4,0.9457,1213.94,933.56,1.1961,333.94,211.71,0.9499
CUST-0095,Customer 0095,-1463.09,1577.41,924.3,1.16,1862.0,408.28,1.1979,1944.92,1315.06,0.8178,333.78,289.96,0.8172
CUST-0096,Customer 0096,1344.78,3188.38,1307.18,0.9371,189.89,61.37,1.0222,749.1,197.38,1.1436,899.93,594.33,1.1264
CUST-0097,Customer 0097,1537.52,1872.88,409.89,0.8156,334.25,197.57,1.0758,130.16,62.33,0.831,692.44,25.07,0.8207
CUST-0098,Customer 0098,-1205.25,529.48,432.09,0.9978,1561.1,970.69,1.0574,1075.07,360.62,1.0116,581.38,564.19,1.0689
CUST-0099,Customer 0099,-623.07,678.23,583.66,0.8496,1030.75,707.87,1.1312,1276.69,299.93,0.9808,834.96,116.48,0.8627
CUST-0100,Customer 0100,4275.84,4813.3,807.19,0.8954,679.76,615.31,1.1447,279.21,2.86,1.1726,1455.17,338.42,0.973
CUST-0101,Customer 0101,1579.41,4552.05,34.17,1.0988,3812.82,1124.93,1.0253,1105.72,375.35,0.8796,471.29,459.49,1.1436
CUST-0102,Customer 0102,1644.85,3528.56,1186.05,0.8523,781.68,514.94,0.9178,395.53,101.3,0.8719,780.29,601.63,0.8378
CUST-0103,Customer 0103,-1794.57,1402.76,1118.72,1.1228,3837.52,2147.95,0.8091,1689.46,966.21,1.0995,720.56,674.86,1.0669
CUST-0104,Customer 0104,-2783.65,4848.96,4069.12,1.1748,3043.36,930.77,1.0458,1670.32,104.06,1.0903,1074.96,867.08,1.045
CUST-0105,Customer 0105,3010.48,3915.88,541.68,1.0426,2563.78,2326.41,1.1302,859.26,232.45,1.0797,1095.44,713.94,1.147
CUST-0106,Customer 0106,-2330.56,3612.76,2797.49,1.0841,2704.08,258.19,0.9802,1933.49,86.56,0.8105,1093.61,311.19,0.8691
CUST-0107,Customer 0107,1471.37,2301.87,266.34,1.0854,1325.9,944.04,0.8659,1959.55,1256.89,0.904,302.28,98.81,1.1199
CUST-0108,Customer 0108,369.33,1433.98,559.34,1.1971,2585.71,1882.07,0.9152,258.5,146.88,1.136,673.64,638.12,0.98
CUST-0109,Customer 0109,-404.85,572.32,571.52,0.9366,746.77,683.54,1.004,735.43,248.19,1.0403,1216.76,1047.17,0.9715
CUST-0110,Customer 0110,373.08,4522.75,871.04,0.8651,3750.82,1945.1,1.1347,1200.64,176.9,1.0409,572.3,205.74,0.9447
CUST-0111,Customer 0111,2154.23,2333.3,359.24,1.0077,1207.17,388.25,0.8687,169.68,162.54,0.9184,1476.38,551.08,0.9542
CUST-0112,Customer 0112,554.51,1091.58,461.52,1.0133,1020.75,844.92,1.0449,765.31,447.24,0.9041,547.18,162.89,1.008
CUST-0113,Customer 0113,38.24,1599.19,990.97,0.8712,2844.65,2192.69,1.1013,522.34,354.73,1.1786,746.5,243.46,0.8427
CUST-0114,Customer 0114,-2212.28,2938.18,2741.03,1.0452,2625.79,1313.72,1.1744,1904.1,1011.74,1.0911,711.79,612.61,0.97
CUST-0115,Customer 0115,207.43,966.19,947.66,0.8056,1805.2,1386.14,0.8467,823.17,663.91,0.8507,650.5,6.83,1.0608
CUST-0116,Customer 0116,3043.24,4297.41,299.27,1.1711,2529.78,677.67,1.1706,1525.34,1367.28,1.1751,1268.45,553.11,0.9993
CUST-0117,Customer 0117,2226.02,3816.75,526.7,0.9058,637.97,376.09,1.0406,773.41,295.99,1.0329,232.91,219.6,0.8663
CUST-0118,Customer 0118,508.9,3625.37,2866.72,0.8158,2693.31,2330.21,1.1067,263.62,181.9,0.9333,851.5,462.05,0.9452
CUST-0119,Customer 0119,1255.62,2217.26,600.06,0.8433,1082.44,344.2,0.8215,1726.3,396.85,0.9589,927.9,417.97,0.9772
CUST-0120,Customer 0120,699.41,3173.81,2808.34,0.8961,1091.34,527.72,1.0025,0.83,0.54,1.0902,1276.83,398.84,1.0675
CUST-0121,Customer 0121,1791.47,2962.08,1965.2,0.9096,648.72,616.96,1.0491,111.88,44.66,0.9505,913.8,67.54,1.1603
CUST-0122,Customer 0122,2516.89,3284.25,367.33,0.8131,1329.51,1061.23,0.9227,728.77,4.94,1.0315,1440.03,323.27,1.0202
CUST-0123,Customer 0123,1140.41,513.78,427.74,0.9117,1325.0,1175.33,0.9727,1373.8,1312.7,1.0842,1308.25,118.34,1.0705
CUST-0124,Customer 0124,703.88,2137.46,376.95,0.8772,1816.72,699.89,1.0217,683.41,593.5,0.8781,523.11,66.28,0.8309
CUST-0125,Customer 0125,1328.31,303.91,128.7,0.9514,761.68,759.02,1.021,132.63,38.57,1.1777,1289.86,210.91,1.1818
CUST-0126,Customer 0126,1470.6,2520.56,1391.82,0.9541,772.03,117.79,0.8167,635.68,634.25,0.9425,1437.72,434.23,0.9261
CUST-0127,Customer 0127,-180.36,1716.32,859.47,0.9356,2166.95,1124.15,0.9758,489.96,155.38,0.9677,385.8,4.25,0.9417
CUST-0128,Customer 0128,32.71,808.17,554.54,0.9312,515.51,247.07,0.8855,10.84,4.97,1.0794,915.31,869.68,0.8891
CUST-0129,Customer 0129,-126.79,606.67,395.97,0.8359,2755.59,2200.15,1.1667,1069.6,910.51,1.0435,422.71,52.34,0.8339
CUST-0130,Customer 0130,120.82,2979.46,2955.75,0.8101,3775.79,3430.75,1.1906,233.29,71.06,0.976,974.35,373.32,1.116
CUST-0131,Customer 0131,-741.44,935.91,935.37,0.8808,1707.18,1248.19,0.9199,574.99,259.06,1.0599,140.46,123.54,0.8962
CUST-0132,Customer 0132,1700.48,4633.09,2392.8,1.1027,3604.42,2259.31,0.8701,1282.38,853.54,1.1611,1101.28,117.36,0.9131
CUST-0133,Customer 0133,1861.51,2947.2,280.57,1.1963,393.27,168.1,0.8878,1450.23,189.21,1.1201,629.73,304.54,0.8727
CUST-0134,Customer 0134,309.22,1799.66,1309.87,1.1714,171.83,87.69,0.9911,526.91,222.54,1.1297,880.96,744.22,1.19
CUST-0135,Customer 0135,-1949.62,2995.49,2925.59,1.0017,2885.48,1469.58,1.1498,658.39,203.71,0.9034,38.79,21.6,1.1124
CUST-0136,Customer 0136,-2024.97,211.74,67.4,1.0127,3044.09,62.0,1.0,493.82,334.2,0.9678,1043.16,219.42,1.172
CUST-0137,Customer 0137,-448.96,4796.94,2212.39,0.9258,3372.23,1696.39,0.8222,1913.78,260.22,1.0215,743.99,547.21,1.1447
CUST-0138,Customer 0138,1653.89,2463.29,1046.35,1.1096,227.27,194.54,0.816,381.04,88.68,0.8177,937.88,639.02,1.1625
CUST-0139,Customer 0139,3505.7,3935.4,202.35,1.1059,3107.63,2204.16,0.891,366.36,260.62,1.1079,473.5,171.5,0.9916
CUST-0140,Customer 0140,-678.33,505.38,339.75,1.1377,1506.15,1198.46,1.1371,890.07,139.05,0.9294,218.73,10.13,0.8682
CUST-0141,Customer 0141,1488.77,2484.63,877.91,1.1582,1213.35,473.79,1.0486,378.61,159.78,0.913,653.14,5.14,0.9308
CUST-0142,Customer 0142,329.47,2504.46,1972.17,0.9737,692.1,366.1,1.0252,313.42,223.43,0.9037,1415.97,1168.73,0.917
CUST-0143,Customer 0143,-2488.54,4695.35,3907.09,1.1068,3984.06,133.4,0.9276,191.76,146.79,0.9134,341.69,109.87,1.0869
CUST-0144,Customer 0144,22.68,2901.47,2382.78,1.1226,254.65,97.53,1.1718,1280.34,121.48,0.9352,1013.76,139.67,0.8103
CUST-0145,Customer 0145,-475.63,2420.1,1008.37,0.9234,3308.03,1569.38,0.9325,1224.16,1042.98,1.0419,74.77,38.77,0.8568
CUST-0146,Customer 0146,-1327.46,1408.18,452.79,1.1717,2557.98,652.82,1.134,1300.33,941.4,1.0334,1077.15,991.88,1.0732
CUST-0147,Customer 0147,-3557.55,1724.69,1291.48,0.8377,2940.32,91.86,1.1584,1546.6,524.75,0.9023,357.66,3.03,0.8494
CUST-0148,Customer 0148,142.88,2651.29,2124.72,1.1977,2846.87,1965.5,0.9933,652.72,498.55,0.8826,677.28,38.02,0.8193
CUST-0149,Customer 0149,-1269.87,2250.67,1105.66,1.108,3433.74,1493.98,1.1577,1836.85,1337.78,1.1305,551.63,230.05,0.8437
CUST-0150,Customer 0150,-803.67,205.9,183.88,0.8373,735.17,305.59,0.9107,1466.41,881.15,0.8371,169.26,114.41,1.0763
CUST-0151,Customer 0151,4003.51,4148.83,597.05,1.0625,3.3,0.82,1.0634,1609.42,898.83,1.0051,518.37,246.8,0.8557
CUST-0152,Customer 0152,-821.67,4491.19,3948.06,0.8137,2394.11,1287.63,0.8352,1441.92,1059.38,1.0082,525.19,471.38,0.8585
CUST-0153,Customer 0153,668.64,787.22,75.65,1.1081,1415.43,620.0,0.9896,716.91,716.38,1.0297,783.16,34.53,0.8921
CUST-0154,Customer 0154,3220.52,2814.78,432.14,1.1197,495.15,234.69,0.8869,566.06,327.5,1.1543,1458.53,496.11,1.1004
CUST-0155,Customer 0155,282.04,632.02,337.4,1.041,744.56,432.49,0.8251,845.03,683.39,1.0496,705.03,247.71,0.8801
CUST-0156,Customer 0156,3106.94,3393.98,229.16,1.1427,1327.0,8.39,0.8015,194.06,144.43,1.1895,1371.64,466.53,0.8142
CUST-0157,Customer 0157,1413.57,1478.05,78.05,0.8392,280.93,255.0,0.9299,902.56,772.42,1.1485,692.34,337.64,1.1623
CUST-0158,Customer 0158,2847.47,3331.17,1.73,0.9104,227.65,16.18,1.0358,86.28,82.36,0.8859,161.31,127.53,1.1505
CUST-0159,Customer 0159,223.49,3662.27,1597.91,0.9657,3664.11,1652.24,0.9821,7.89,1.52,0.8965,345.23,109.74,0.8739
CUST-0160,Customer 0160,-1515.8,3866.37,2994.98,0.817,1248.41,258.89,0.9207,1863.0,308.25,0.9379,611.28,455.09,0.9061
CUST-0161,Customer 0161,-1280.51,627.93,21.88,0.9793,3928.92,2057.9,1.1965,1378.67,808.39,0.9566,488.05,71.48,0.8754
CUST-0162,Customer 0162,-1830.17,4588.46,2992.86,0.9061,3857.47,1080.98,1.1758,1123.69,504.87,1.0212,1298.74,728.24,1.0878
CUST-0163,Customer 0163,451.01,1228.05,1010.84,0.9571,570.29,490.45,0.8503,682.2,389.35,0.893,1017.97,381.83,0.9
CUST-0164,Customer 0164,-1175.03,283.32,47.6,0.97,2859.7,1133.47,0.966,1141.08,910.63,0.8889,867.46,467.74,1.1726
CUST-0165,Customer 0165,2502.63,2818.78,413.98,1.1518,2403.22,1535.07,1.0595,1783.15,1661.39,0.9526,736.84,79.39,1.1311
CUST-0166,Customer 0166,-1997.75,1917.52,1650.6,0.9081,2762.59,687.55,1.0934,1304.76,544.63,1.0688,595.91,568.18,1.0354
CUST-0167,Customer 0167,199.54,4165.97,3429.11,1.1575,384.76,7.47,0.9465,1204.96,865.08,1.0753,918.29,832.17,0.8036
CUST-0168,Customer 0168,480.4,4060.43,2188.34,0.9704,754.24,304.83,1.0985,920.41,181.14,1.1904,186.91,154.46,1.1535
CUST-0169,Customer 0169,-97.29,1653.98,1354.94,0.9311,306.55,164.46,0.8497,691.39,369.58,0.881,243.8,217.66,1.0911
CUST-0170,Customer 0170,2237.71,4769.21,442.37,1.001,2416.54,1110.51,0.9327,1397.09,30.46,0.9571,454.67,66.69,1.1152
CUST-0171,Customer 0171,-318.57,1525.5,601.78,0.9671,3946.36,3796.46,1.0866,1961.96,988.34,1.1859,256.78,129.35,0.8287
CUST-0172,Customer 0172,128.46,2623.78,1935.82,0.9029,2687.94,1899.94,1.0503,849.52,463.27,1.076,1015.65,322.88,1.0834
CUST-0173,Customer 0173,782.23,1354.23,348.65,1.0011,2843.05,2830.74,1.1349,784.41,576.89,1.0369,37.15,32.97,1.1218
CUST-0174,Customer 0174,-1348.46,4686.61,3525.87,0.8607,3938.34,1162.05,0.8187,856.23,556.11,1.0159,240.27,45.52,1.1827
CUST-0175,Customer 0175,562.07,906.58,457.08,0.9408,2712.05,2139.95,0.8698,851.09,305.03,0.8302,1353.91,297.79,1.0322
CUST-0176,Customer 0176,-1786.0,320.06,240.13,1.0263,160.73,89.29,0.8194,1981.25,11.35,1.1573,1496.31,1027.54,1.0032
CUST-0177,Customer 0177,-693.63,2231.98,1037.16,0.9654,3468.02,2121.6,0.8768,1413.56,163.25,1.0502,731.39,65.02,0.9702
CUST-0178,Customer 0178,3721.82,4962.64,1825.78,1.1296,1458.71,1438.07,0.8017,718.37,699.02,1.0287,743.06,544.19,1.0805
CUST-0179,Customer 0179,4077.35,4469.22,979.6,0.9027,17.45,11.41,1.0017,743.0,685.29,1.0158,1160.1,311.05,1.1683
CUST-0180,Customer 0180,2798.62,3768.18,785.21,1.1879,2028.94,1823.65,1.0113,861.59,280.1,0.9568,54.28,35.88,1.0399
CUST-0181,Customer 0181,166.44,4464.88,3355.32,1.1139,3748.06,2720.16,1.0632,73.42,19.0,0.9019,640.53,559.21,0.8909
CUST-0182,Customer 0182,3217.82,4477.89,532.47,1.187,1029.32,131.12,0.954,1055.63,460.69,1.1021,149.74,91.28,0.807
CUST-0183,Customer 0183,2259.42,2642.41,227.2,1.1353,1966.05,1375.1,0.8013,1622.76,1119.61,1.0038,601.39,127.91,1.0476
CUST-0184,Customer 0184,1696.13,1648.05,290.54,0.8568,695.11,336.65,1.0696,1321.14,471.42,0.8136,1475.73,72.56,1.1458
CUST-0185,Customer 0185,3757.89,3882.86,680.85,1.0106,230.77,212.03,0.8217,396.84,26.7,0.9596,1130.45,50.43,0.8264
CUST-0186,Customer 0186,714.34,3342.14,2750.94,0.868,322.18,259.95,1.1465,1456.07,586.5,1.1714,1477.57,131.23,0.959
